Keyword,Actual
affordable,Price worthiness
amazon,Delivery and service
applications,Applications
Apps,Applications
Audio,Sound
back ,Design and build quality
Battery,Battery
Bend,Others
bending,Others
bends,Others
Blaster,Others
Bluetooth,Bluetooth
body,Design and build quality
Brightness,Screen
browsing,Internet and Browsing
budget,Price worthiness
build,Design and build quality
built ,Design and build quality
burst ,Camera
Camera,Camera
charging,Battery
cheap,Price worthiness
clarity,Camera
connectivity,Internet and Browsing
day,Camera
Defective,Delivery and service
delivered,Delivery and service
Delivery,Delivery and service
Design,Design and build quality
Display,Screen
durable,Design and build quality
Fingerprint ,Screen
Flash,Camera
flipkart,Delivery and service
Front,Front Camera
Game,Gaming
games,Gaming
gaming,Gaming
gps,Internet and Browsing
hanging,Lag
hangs,Lag
headphone,Earphone
heat,Low heating
heated,Low heating
heating,Low heating
heats,Low heating
image,Camera
interface,UI
internet,Internet and Browsing
lag,Lag
lager,Lag
lagged,Lag
lagging,Lag
laggy,Lag
laginess,Lag
laging,Lag
lags,Lag
lagy,Lag
lens,Camera
Light ,Camera
Looks,Design and build quality
music,Music
overheat,Low heating
overheated,Low heating
overheating,Low heating
overheats,Low heating
overprice,Price worthiness
overpriced,Price worthiness
picture,Camera
Price,Price worthiness
prices,Price worthiness
pricing,Price worthiness
Resolution,Screen
responsive,Screen
Screen,Screen
selfie,Front Camera
sensor,Others
sensors,Others
service,Delivery and service
Size,Screen
Sleek,Design and build quality
smooth ,Screen
snapdeal,Delivery and service
sound,Sound
speakers,Sound
Stablisation,Camera
store,Applications
stylish,Design and build quality
surfing,Internet and Browsing
touch,Screen
Touchwiz,Screen
UI,UI
underwater,Others
video,Video
videos,Video
viewing ,Screen
